
as 16:16:32 ---- APP STARTED ---

sc 16:16:33 -- :Menu Utama --
.. 16:16:46      .
td 16:34:11      touched on :(390.0, 735.0)
td 16:34:11      touched on :(534.0, 547.0)
td 16:34:11      touched on :(432.0, 553.0)
td 16:34:11      touched on :(0.0, 171.99999999999994)
td 16:34:11      touched on :(630.0, 662.0)
td 16:34:12      touched on :(924.0, 714.9999999999999)
td 16:34:12      touched on :(1040.0, 688.0)
td 16:34:12      touched on :(993.0, 761.0)
td 16:34:12      touched on :(1096.0, 711.0)
td 16:34:12      touched on :(1022.0000000000001, 808.0000000000001)
td 16:34:12      touched on :(1259.0, 710.0)
td 16:34:12      touched on :(1327.0, 713.0)
td 16:34:12      touched on :(1461.0, 720.0000000000001)
td 16:34:12      touched on :(1477.0, 810.0)
td 16:34:12      touched on :(0.0, 171.99999999999994)
td 16:34:12      touched on :(1458.0, 920.0)
td 16:34:12      touched on :(1457.0, 859.0)
td 16:34:12      touched on :(1491.0, 830.9999999999999)
td 16:34:12      touched on :(1313.0, 908.0)
td 16:34:12      touched on :(1165.0, 934.0)
td 16:34:12      touched on :(1253.0, 881.0)
td 16:34:12      touched on :(949.0, 769.0)
td 16:34:12      touched on :(970.0000000000001, 812.0)
td 16:34:12      touched on :(923.0, 833.0)
td 16:34:12      touched on :(788.0, 808.9999999999999)
td 16:34:12      touched on :(632.0, 931.0)
td 16:34:12      touched on :(651.0, 783.0)
td 16:34:12      touched on :(439.0, 686.0)
td 16:34:12      touched on :(364.0, 738.0)
td 16:34:12      touched on :(0.0, 173.00000000000003)
td 16:34:12      touched on :(291.0, 601.0)
td 16:34:12      touched on :(282.0, 665.0)
td 16:34:12      touched on :(389.0, 544.0000000000001)
td 16:34:12      touched on :(280.0, 653.0)
td 16:34:12      touched on :(349.0, 661.0)
td 16:34:12      touched on :(377.0, 592.0)
td 16:34:12      touched on :(0.0, 171.99999999999994)
td 16:34:12      touched on :(756.0, 739.9999999999999)
td 16:34:12      touched on :(919.0, 761.9999999999999)
td 16:34:12      touched on :(828.0, 761.9999999999999)
td 16:34:12      touched on :(816.0, 813.0)
td 16:34:12      touched on :(1038.0, 797.0)
td 16:34:12      touched on :(954.0, 871.0)
td 16:34:12      touched on :(1120.0, 909.0)
td 16:34:12      touched on :(0.0, 171.99999999999994)
td 16:34:12      touched on :(1473.0, 846.0)
td 16:34:12      touched on :(1399.0, 896.0)
td 16:34:12      touched on :(1471.0, 979.0)
td 16:34:12      touched on :(1493.0, 980.0)
td 16:34:12      touched on :(1540.0, 1017.0)
td 16:34:12      touched on :(1465.0, 1086.0)
td 16:34:12      touched on :(0.0, 171.99999999999994)
td 16:34:12      touched on :(0.0, 171.99999999999994)
td 16:34:12      touched on :(1066.0, 920.0)
td 16:34:12      touched on :(975.0, 1006.0)
